"Mineral Name","Mineral Name (plain)","RRUFF Chemistry (plain)","IMA Chemistry (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","Year First Published","Crystal Systems","Space Groups","Oldest Known Age (Ma)","IMA Mineral Symbol","Paragenetic Modes"
"Fluorapophyllite-(K)","Fluorapophyllite-(K)","KCa4Si8O20F·8H2O","KCa4Si8O20F·8H2O","KCa_4_Si_8_O_20_F·8H_2_O","KCa_4_Si_8_O_20_F·8H_2_O","K Ca Si O F H","1806","tetragonal","P4/mnc","2060","Fapo-K","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Fluorapophyllite-(Na)","Fluorapophyllite-(Na)","NaCa4Si8O20F·8H2O","NaCa4Si8O20F·8H2O","NaCa_4_Si_8_O_20_F·8H_2_O","NaCa_4_Si_8_O_20_F·8H_2_O","Na Ca Si O F H","1976","orthorhombic","Pnnm","1349","Fapo-Na","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Fluorapophyllite-(NH_4_)","Fluorapophyllite-(NH4)","(N3-H4)Ca4(Si8O20)F·8H2O","(NH4)Ca4(Si8O20)F·8H2O","(N^3-^H_4_)Ca_4_(Si_8_O_20_)F·8H_2_O","(NH_4_)Ca_4_(Si_8_O_20_)F·8H_2_O","N H Ca Si O F","2020","tetragonal","P4/mnc","","Fapo-NH4","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM20 - Acidic volcanic rocks"
"Fluor-arfvedsonite","Fluor-arfvedsonite","Na3F2+4Fe3+Si8O22F2","Na3F2+4Fe3+Si8O22F2","Na_3_F^2+^_4_Fe^3+^Si_8_O_22_F_2_","Na_3_F^2+^_4_Fe^3+^Si_8_O_22_F_2_","Na F Fe Si O","","monoclinic","C2/m","","",""
"Fluorarrojadite-(BaFe)","Fluorarrojadite-(BaFe)","Na2CaBaFe2+Fe2+13Al(PO4)11(PO3OH)F2","Na2CaBaFe2+Fe2+13Al(PO4)11(PO3OH)F2","Na_2_CaBaFe^2+^Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)F_2_","Na_2_CaBaFe^2+^Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)F_2_","Na Ca Ba Fe Al P O H F","2005","monoclinic","Cc","164","Fajd-BaFe","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Fluorarrojadite-(BaNa)","Fluorarrojadite-(BaNa)","BaNa4CaFe2+13Al(PO4)11(PO3OH)F2","BaNa4CaFe13Al(PO4)11(PO3OH)F2","BaNa_4_CaFe^2+^_13_Al(PO_4_)_11_(PO_3_OH)F_2_","BaNa_4_CaFe_13_Al(PO_4_)_11_(PO_3_OH)F_2_","Ba Na Ca Fe Al P O H F","2016","monoclinic","Cc","390","Fajd-BaNa","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Fluorbarytolamprophyllite","Fluorbarytolamprophyllite","(Ba,Sr,K)2[(Na,Fe2+)3Ti4+F2][Ti4+2(Si2O7)2O2]","(Ba,Sr,K)2[(Na,Fe2+)3TiF2][Ti2(Si2O7)2O2]","(Ba,Sr,K)_2_[(Na,Fe^2+^)_3_Ti^4+^F_2_][Ti^4+^_2_(Si_2_O_7_)_2_O_2_]","(Ba,Sr,K)_2_[(Na,Fe^2+^)_3_TiF_2_][Ti_2_(Si_2_O_7_)_2_O_2_]","Ba Sr K Na Fe Ti F Si O","2017","monoclinic","C2/m","441","Fblmp","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Fluorbritholite-(Ce)","Fluorbritholite-(Ce)","Ca2Ce3+3(SiO4)3F","(Ce,Ca)5(SiO4)3F","Ca_2_Ce^3+^_3_(SiO_4_)_3_F","(Ce,Ca)_5_(SiO_4_)_3_F","Ce Ca Si O F","1991","hexagonal","P6_3","2680","Fbri-Ce","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Fluorbritholite-(Nd)","Fluorbritholite-(Nd)","Ca2Nd3(SiO4)3F","Ca2Nd3(SiO4)3F","Ca_2_Nd_3_(SiO_4_)_3_F","Ca_2_Nd_3_(SiO_4_)_3_F","Ca Nd Si O F","2023","hexagonal","P6_3/m","","Fbri-Nd",""
"Fluorbritholite-(Y)","Fluorbritholite-(Y)","(Y,Ca)5(SiO4)3F","(Y,Ca)5(SiO4)3F","(Y,Ca)_5_(SiO_4_)_3_F","(Y,Ca)_5_(SiO_4_)_3_F","Y Ca Si O F","2009","hexagonal","P6_3/m","2680","Fbri-Y","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Fluor-buergerite","Fluor-buergerite","NaFe3+3Al6(Si6O18)(BO3)3O3F","NaFe3+3Al6(Si6O18)(BO3)3O3F","NaFe^3+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_O_3_F","NaFe^3+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_O_3_F","Na Fe Al Si O B F","1965","hexagonal","R3m","","Fbu","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM20 - Acidic volcanic rocks, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Fluorcalciobritholite","Fluorcalciobritholite","(Ca,Ce3+)5(SiO4,PO4)3F","(Ca,REE)5(SiO4,PO4)3F","(Ca,Ce^3+^)_5_(SiO_4_,PO_4_)_3_F","(Ca,REE)_5_(SiO_4_,PO_4_)_3_F","Ca REE Si O P F","2006","hexagonal","P6_3/m","2680","Fcbri","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Fluorcalciomicrolite","Fluorcalciomicrolite","(Ca,Na)2Ta5+2O6F","(Ca,Na,[box])2Ta2O6F","(Ca,Na)_2_Ta^5+^_2_O_6_F","(Ca,Na,[box])_2_Ta_2_O_6_F","Ca Na Ta O F","2012","cubic","Fd-3m","2660","Fcmic","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Fluorcalciopyrochlore","Fluorcalciopyrochlore","(Ca,Na)2(Nb5+,Ti4+)2O6F","(Ca,Na)2(Nb,Ti)2O6F","(Ca,Na)_2_(Nb^5+^,Ti^4+^)_2_O_6_F","(Ca,Na)_2_(Nb,Ti)_2_O_6_F","Ca Na Nb Ti O F","2013","cubic","Fd-3m","2070","Fcpcl","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Fluorcalcioroméite","Fluorcalcioromeite","(Ca,Na)2Sb5+2O6F","(Ca,Na)2Sb5+2O6F","(Ca,Na)_2_Sb^5+^_2_O_6_F","(Ca,Na)_2_Sb^5+^_2_O_6_F","Ca Na Sb O F","2012","cubic","Fd-3m","1898","Fcrm","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Fluorcanasite","Fluorcanasite","K3Na3Ca5Si12O30F4·H2O","K3Na3Ca5Si12O30F4·H2O","K_3_Na_3_Ca_5_Si_12_O_30_F_4_·H_2_O","K_3_Na_3_Ca_5_Si_12_O_30_F_4_·H_2_O","K Na Ca Si O F H","2007","monoclinic","Cm","413.6","Fcns","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Fluorcaphite","Fluorcaphite","SrCaCa3(PO4)3F","SrCaCa3(PO4)3F","SrCaCa_3_(PO_4_)_3_F","SrCaCa_3_(PO_4_)_3_F","Sr Ca P O F","1996","hexagonal","P6_3","413.6","Fcp","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites"
"Fluorcarletonite","Fluorcarletonite","KNa4Ca4Si8O18(CO3)4F·H2O","KNa4Ca4Si8O18(CO3)4F·H2O","KNa_4_Ca_4_Si_8_O_18_(CO_3_)_4_F·H_2_O","KNa_4_Ca_4_Si_8_O_18_(CO_3_)_4_F·H_2_O","K Na Ca Si O C F H","2019","unknown","","","Fcto","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Fluorcarmoite-(BaNa)","Fluorcarmoite-(BaNa)","Ba[box]Na2Na2[box]CaMg13Al(PO4)11(PO3OH)F2","Ba[box]Na2Na2[box]CaMg13Al(PO4)11(PO3OH)F2","Ba[box]Na_2_Na_2_[box]CaMg_13_Al(PO_4_)_11_(PO_3_OH)F_2_","Ba[box]Na_2_Na_2_[box]CaMg_13_Al(PO_4_)_11_(PO_3_OH)F_2_","Ba Na Ca Mg Al P O H F","2015","monoclinic","Cc","","Fcm-BaNa","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Fluorchegemite","Fluorchegemite","Ca7(SiO4)3F2","Ca7(SiO4)3F2","Ca_7_(SiO_4_)_3_F_2_","Ca_7_(SiO_4_)_3_F_2_","Ca Si O F","2011","","","3","Fcgm","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals"
"Fluor-dravite","Fluor-dravite","NaMg3Al6(Si6O18)(BO3)3(OH)3F","NaMg3Al6(Si6O18)(BO3)3(OH)3F","NaMg_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F","NaMg_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F","Na Mg Al Si O B H F","2009","hexagonal","R3m","488","Fdrv","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Fluor-elbaite","Fluor-elbaite","Na(Li1.5Al1.5)Al6(Si6O18)(BO3)3(OH)3F","Na(Li1.5Al1.5)Al6(Si6O18)(BO3)3(OH)3F","Na(Li_1.5_Al_1.5_)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F","Na(Li_1.5_Al_1.5_)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F","Na Li Al Si O B H F","2011","hexagonal","R3m","2799","Felb","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Fluorellestadite","Fluorellestadite","Ca5(SiO4)1.5(S6+O4)1.5F","Ca5(SiO4)1.5(SO4)1.5F","Ca_5_(SiO_4_)_1.5_(S^6+^O_4_)_1.5_F","Ca_5_(SiO_4_)_1.5_(SO_4_)_1.5_F","Ca Si O S F","1987","hexagonal","P6_3/m","513","Fel","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Fluorine","Fluorine","F","","F","","","1886","","","","",""
"Fluorite","Fluorite","CaF2","CaF2","CaF_2_","CaF_2_","Ca F","1530","cubic","Fm3m","4000","Flr","Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, PM31 - Contact metamorphism, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization, PM50 - Coal and/or oil shale minerals, PM53 - Other minerals with taphonomic origins, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Fluorkyuygenite","Fluorkyuygenite","Ca12Al14O32[(H2O)4F2]","Ca12Al14O32[(H2O)4F2]","Ca_12_Al_14_O_32_[(H_2_O)_4_F_2_]","Ca_12_Al_14_O_32_[(H_2_O)_4_F_2_]","Ca Al O H F","2013","cubic","I-43d","16","Fky","Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
"Fluorlamprophyllite","Fluorlamprophyllite","(SrNa)Ti4+2Na3Ti4+(Si2O7)2O2F2","(SrNa)Ti2Na3Ti(Si2O7)2O2F2","(SrNa)Ti^4+^_2_Na_3_Ti^4+^(Si_2_O_7_)_2_O_2_F_2_","(SrNa)Ti_2_Na_3_Ti(Si_2_O_7_)_2_O_2_F_2_","Sr Na Ti Si O F","2013","monoclinic","","","Flmp","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Fluor-liddicoatite","Fluor-liddicoatite","Ca(Li2Al)Al6(Si6O18)(BO3)3(OH)3F","Ca(Li2Al)Al6(Si6O18)(BO3)3(OH)3F","Ca(Li_2_Al)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F","Ca(Li_2_Al)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F","Ca Li Al Si O B H F","1976","hexagonal","R3m","2799","Fld","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Fluorluanshiweiite","Fluorluanshiweiite","KLiAl1.5[box]0.5(Si3.5Al0.5)O10F2","KLiAl1.5[box]0.5(Si3.5Al0.5)O10F2","KLiAl_1.5_[box]_0.5_(Si_3.5_Al_0.5_)O_10_F_2_","KLiAl_1.5_[box]_0.5_(Si_3.5_Al_0.5_)O_10_F_2_","K Li Al Si O F","2019","monoclinic","C2/m","","Flw","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Fluormayenite","Fluormayenite","Ca12Al14O32[[box]4F2]","Ca12Al14O32[[box]4F2]","Ca_12_Al_14_O_32_[[box]_4_F_2_]","Ca_12_Al_14_O_32_[[box]_4_F_2_]","Ca Al O F","2013","cubic","I-43d","16","Fmy","Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
"Fluornatrocoulsellite","Fluornatrocoulsellite","(Na1.5Ca0.5)(Mg1.5Al0.5)F6F","(Na1.5Ca0.5)(Mg1.5Al0.5)F6F","(Na_1.5_Ca_0.5_)(Mg_1.5_Al_0.5_)F_6_F","(Na_1.5_Ca_0.5_)(Mg_1.5_Al_0.5_)F_6_F","Na Ca Mg Al F","2009","hexagonal","R-3m","2072","Fnc","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Fluornatromicrolite","Fluornatromicrolite","(Na1.5Bi3+0.5)Ta5+2O6F","(Na1.5Bi0.5)Ta2O6F","(Na_1.5_Bi^3+^_0.5_)Ta^5+^_2_O_6_F","(Na_1.5_Bi_0.5_)Ta_2_O_6_F","Na Bi Ta O F","1998","cubic","Fd3m","1800","Fnmic","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Fluornatropyrochlore","Fluornatropyrochlore","(Na,Pb2+,Ca,REE3+,U6+)2Nb5+2O6F","(Na,Pb,Ca,REE,U)2Nb2O6F","(Na,Pb^2+^,Ca,REE^3+^,U^6+^)_2_Nb^5+^_2_O_6_F","(Na,Pb,Ca,REE,U)_2_Nb_2_O_6_F","Na Pb Ca REE U Nb O F","2013","cubic","Fd-3m","2100","Fnpcl","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Fluoro-cannilloite","Fluoro-cannilloite","CaCa2(Mg4Al)(Si5Al3)O22F2","CaCa2(Mg4Al)(Si5Al3)O22F2","CaCa_2_(Mg_4_Al)(Si_5_Al_3_)O_22_F_2_","CaCa_2_(Mg_4_Al)(Si_5_Al_3_)O_22_F_2_","Ca Mg Al Si O F","1993","monoclinic","C2/m","","Fca","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
"Fluorocronite","Fluorocronite","Pb2+F2","PbF2","Pb^2+^F_2_","PbF_2_","Pb F","2010","cubic","Fm3m","","Flc","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Fluoro-edenite","Fluoro-edenite","NaCa2Mg5(Si7Al)O22F2","NaCa2Mg5(Si7Al)O22F2","NaCa_2_Mg_5_(Si_7_Al)O_22_F_2_","NaCa_2_Mg_5_(Si_7_Al)O_22_F_2_","Na Ca Mg Si Al O F","1994","monoclinic","C2/m","1349","Fled","Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Fluoro-ferri-magnesiokatophorite","Fluoro-ferri-magnesiokatophorite","Na2Ca(Mg,Fe3+)5(Si7Al)O22F2","Na2Ca(Mg,Fe3+)5(Si7Al)O22F2","Na_2_Ca(Mg,Fe^3+^)_5_(Si_7_Al)O_22_F_2_","Na_2_Ca(Mg,Fe^3+^)_5_(Si_7_Al)O_22_F_2_","Na Ca Mg Fe Si Al O F","","","","","",""
"Fluorokinoshitalite","Fluorokinoshitalite","BaMg3Al2Si2O10F2","BaMg3Al2Si2O10F2","BaMg_3_Al_2_Si_2_O_10_F_2_","BaMg_3_Al_2_Si_2_O_10_F_2_","Ba Mg Al Si O F","2010","monoclinic","C2/m","2070","Flkns","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Fluoro-leakeite","Fluoro-leakeite","NaNa2(Mg2Al2Li)Si8O22F2","NaNa2(Mg2Al2Li)Si8O22F2","NaNa_2_(Mg_2_Al_2_Li)Si_8_O_22_F_2_","NaNa_2_(Mg_2_Al_2_Li)Si_8_O_22_F_2_","Na Mg Al Li Si O F","2009","monoclinic","C2/m","1489","Fllk","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Fluoro-magnesiokatophorite","Fluoro-magnesiokatophorite","NaCa2Mg5(Si7Al)O22F2","NaCa2Mg5(Si7Al)O22F2","NaCa_2_Mg_5_(Si_7_Al)O_22_F_2_","NaCa_2_Mg_5_(Si_7_Al)O_22_F_2_","Na Ca Mg Si Al O F","","","","","",""
"Fluoro-nybøite","Fluoro-nyboite","NaNa2(Mg3Al2)(Si7Al)O22F2","NaNa2(Mg3Al2)(Si7Al)O22F2","NaNa_2_(Mg_3_Al_2_)(Si_7_Al)O_22_F_2_","NaNa_2_(Mg_3_Al_2_)(Si_7_Al)O_22_F_2_","Na Mg Al Si O F","2002","monoclinic","C2/m","","Fnyb","Abiotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM17 - Marine authigenic Hadean minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
"Fluoro-oxy-ferri-magnesiokatophorite","Fluoro-oxy-ferri-magnesiokatophorite","Na2Ca(Mg4Fe3+)(Si7Al)O22(F,O,OH)2","Na2Ca(Mg4Fe3+)(Si7Al)O22(F,O,OH)2","Na_2_Ca(Mg_4_Fe^3+^)(Si_7_Al)O_22_(F,O,OH)_2_","Na_2_Ca(Mg_4_Fe^3+^)(Si_7_Al)O_22_(F,O,OH)_2_","Na Ca Mg Fe Si Al O F H","","","","","",""
"Fluoro-pargasite","Fluoro-pargasite","NaCa2(Mg4Al)(Si6Al2)O22F2","NaCa2(Mg4Al)(Si6Al2)O22F2","NaCa_2_(Mg_4_Al)(Si_6_Al_2_)O_22_F_2_","NaCa_2_(Mg_4_Al)(Si_6_Al_2_)O_22_F_2_","Na Ca Mg Al Si O F","2003","monoclinic","C2/m","1349","Flprg","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Fluoro-pedrizite","Fluoro-pedrizite","NaLi2(Mg2Al2Li)Si8O22F2","NaLi2(Mg2Al2Li)Si8O22F2","NaLi_2_(Mg_2_Al_2_Li)Si_8_O_22_F_2_","NaLi_2_(Mg_2_Al_2_Li)Si_8_O_22_F_2_","Na Li Mg Al Si O F","2004","monoclinic","C2/m","489","Flpd","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Fluorophlogopite","Fluorophlogopite","KMg3(Si3Al)O10F2","KMg3(Si3Al)O10F2","KMg_3_(Si_3_Al)O_10_F_2_","KMg_3_(Si_3_Al)O_10_F_2_","K Mg Si Al O F","2006","monoclinic|hexagonal","Cm|P3_112, C2/m","2070","Fphl","Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Fluoro-richterite","Fluoro-richterite","Na(NaCa)Mg5Si8O22F2","Na(NaCa)Mg5Si8O22F2","Na(NaCa)Mg_5_Si_8_O_22_F_2_","Na(NaCa)Mg_5_Si_8_O_22_F_2_","Na Ca Mg Si O F","1992","monoclinic","I2/m","1240","Flrct","Abiotic, Primary; Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases"
"Fluoro-riebeckite","Fluoro-riebeckite","[box]Na2(Fe2+3Fe3+2)Si8O22F2","[box]Na2(Fe2+3Fe3+2)Si8O22F2","[box]Na_2_(Fe^2+^_3_Fe^3+^_2_)Si_8_O_22_F_2_","[box]Na_2_(Fe^2+^_3_Fe^3+^_2_)Si_8_O_22_F_2_","Na Fe Si O F","1978","monoclinic","C2/m","2072","Frbk","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks"
"Fluorotaramite","Fluorotaramite","Na2Ca(Fe2+3AlFe3+)(Si6Al2)O22F2","Na2Ca(Fe2+3AlFe3+)(Si6Al2)O22F2","Na_2_Ca(Fe^2+^_3_AlFe^3+^)(Si_6_Al_2_)O_22_F_2_","Na_2_Ca(Fe^2+^_3_AlFe^3+^)(Si_6_Al_2_)O_22_F_2_","Na Ca Fe Al Si O F","","monoclinic","C2/m","","",""
"Fluoro-taramite","Fluoro-taramite","Na(NaCa)(Mg3Al2)(Si6Al2)O22F2","Na(NaCa)(Mg3Al2)(Si6Al2)O22F2","Na(NaCa)(Mg_3_Al_2_)(Si_6_Al_2_)O_22_F_2_","Na(NaCa)(Mg_3_Al_2_)(Si_6_Al_2_)O_22_F_2_","Na Ca Mg Al Si O F","2006","monoclinic","C2/m","","Fltrm","Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism"
"Fluorotetraferriphlogopite","Fluorotetraferriphlogopite","KMg3Fe3+Si3O10F2","KMg3Fe3+Si3O10F2","KMg_3_Fe^3+^Si_3_O_10_F_2_","KMg_3_Fe^3+^Si_3_O_10_F_2_","K Mg Fe Si O F","2010","monoclinic","C2/m","2070","Ftfphl","Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Fluorotremolite","Fluorotremolite","[box]Ca2Mg5Si8O22 F2","[box]Ca2Mg5Si8O22 F2","[box]Ca_2_Mg_5_Si_8_O_22_ F_2_","[box]Ca_2_Mg_5_Si_8_O_22_ F_2_","Ca Mg Si O F","","","","","",""
"Fluoro-tremolite","Fluoro-tremolite","[box]Ca2Mg5Si8O22F2","[box]Ca2Mg5Si8O22F2","[box]Ca_2_Mg_5_Si_8_O_22_F_2_","[box]Ca_2_Mg_5_Si_8_O_22_F_2_","Ca Mg Si O F","2016","monoclinic","C2/m","1600","Ftr","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Fluorowardite","Fluorowardite","NaAl3(PO4)2F2(OH)2·2H2O","NaAl3(PO4)2(OH)2F2·2H2O","NaAl_3_(PO_4_)_2_F_2_(OH)_2_·2H_2_O","NaAl_3_(PO_4_)_2_(OH)_2_F_2_·2H_2_O","Na Al P O H F","2012","tetragonal","P4_12_12","","Fwd","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Fluorphosphohedyphane","Fluorphosphohedyphane","Ca2Pb2+3(PO4)3F","Ca2Pb3(PO4)3F","Ca_2_Pb^2+^_3_(PO_4_)_3_F","Ca_2_Pb_3_(PO_4_)_3_F","Ca Pb P O F","2008","hexagonal","P6_3/m","358.9","Fphdy","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Fluorpyromorphite","Fluorpyromorphite","Pb2+5(PO4)3F","Pb5(PO4)3F","Pb^2+^_5_(PO_4_)_3_F","Pb_5_(PO_4_)_3_F","Pb P O F","2022","hexagonal","P6_3/m","","Fpym","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Fluor-schorl","Fluor-schorl","NaFe2+3Al6(Si6O18)(BO3)3(OH)3F","NaFe2+3Al6(Si6O18)(BO3)3(OH)3F","NaFe^2+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F","NaFe^2+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F","Na Fe Al Si O B H F","2010","hexagonal","R3m","960","Fsrl","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Fluorsigaiite","Fluorsigaiite","Ca2Sr3(PO4)3F","Ca2Sr3(PO4)3F","Ca_2_Sr_3_(PO_4_)_3_F","Ca_2_Sr_3_(PO_4_)_3_F","Ca Sr P O F","2022","hexagonal","P6_3/m","","Fsig","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
